市町村,総額,市町村民税,固定資産税,軽自動車税,市町村たばこ税,鉱産税,特別土地保有税,入湯税,事業所税,都市計画税
名古屋市,487284750,217926755,193241721,1704906,17472605,0,0,0,15631951,41306812
豊橋市,61103790,25340161,26192564,655268,2550384,165,7647,0,2649041,3708560
岡崎市,63606684,28792297,24756596,572772,2195923,472,0,469,2620183,4667972
一宮市,47014801,22259507,18392256,532176,2295942,0,0,296,817160,2717464
瀬戸市,17499052,8360038,6939902,187007,688169,5350,0,0,0,1318586
半田市,21541911,9057343,9645618,207598,843852,0,0,518,0,1786982
春日井市,48426822,21408466,19343452,366157,1780114,0,0,0,1727986,3800647
豊川市,27370000,11601627,12135081,338531,1159853,0,0,38353,0,2096555
津島市,8483256,3912027,3600535,104468,420409,0,0,0,0,445817
碧南市,16197653,5455314,9030515,132835,448707,0,0,0,0,1130282
刈谷市,33347383,15150751,14283766,198129,1149769,0,0,0,0,2564968
豊田市,85693455,35085645,36722379,642201,2921765,590,0,106,6614203,3706566
安城市,35695144,15998541,15863319,275415,1336601,0,0,997,0,2220271
西尾市,28139503,11982589,13134782,339166,1066640,0,0,10856,0,1605470
蒲郡市,13897977,5900438,6010365,151764,659862,0,0,86883,0,1088665
犬山市,10996981,4790518,4975785,113852,383762,0,278,19442,0,713344
常滑市,11001441,3386634,6215567,112990,380992,0,0,0,0,905258
江南市,12118863,5970230,4863423,144235,568031,0,0,0,0,572944
小牧市,30324560,12657390,14159147,220098,1088458,0,0,0,0,2199467
稲沢市,20673223,9266414,9505451,200145,876047,0,0,0,0,825166
新城市,7412358,3101360,3618676,118732,288454,0,0,23082,0,262054
東海市,27667269,9088340,15449231,173831,870268,0,0,15683,0,2069916
大府市,15853983,7121145,6934584,116719,508447,0,0,11644,0,1161444
知多市,14826254,5668084,7499335,141426,409453,0,0,0,0,1107956
知立市,11149783,5464571,4273429,91376,383900,0,0,0,0,936507
尾張旭市,11660357,5713869,4424629,93714,447509,0,0,0,0,980636
高浜市,8148541,3352307,3659741,75340,331119,0,0,0,0,730034
岩倉市,6280775,3054471,2431466,57086,275181,0,0,0,0,462571
豊明市,9869497,4847009,3944262,88192,372421,0,450,0,0,617163
日進市,13596149,7150370,5513151,89926,373653,0,0,2717,0,466332
田原市,13796963,4350325,8320196,160518,431330,201,400,0,0,533993
愛西市,7147834,3380856,3350344,108387,308247,0,0,0,0,0
清須市,11350979,4818833,5296779,75353,472847,0,0,0,0,687167
北名古屋市,13104974,6338132,5326419,104212,592911,0,0,0,0,743300
弥富市,7487769,2852713,4259831,69607,304990,0,0,628,0,0
みよし市,12990669,5309685,6414197,78553,363014,0,0,0,0,825220
あま市,10143499,4904023,4672529,117378,449569,0,0,0,0,0
長久手市,9426688,4472479,3931630,47415,273146,0,0,57576,0,644442
東郷町,6005349,2990910,2356693,56907,227685,0,0,0,0,373154
豊山町,3427751,1119570,1960744,24280,120261,0,0,0,0,202896
大口町,4867172,2054951,2601356,38513,172342,0,0,0,0,10
扶桑町,4492185,2157497,1787535,50532,230136,0,0,0,0,266485
大治町,3692646,1697468,1752571,37746,204861,0,0,0,0,0
蟹江町,5033687,2532140,2205428,47516,243302,0,0,5298,0,3
飛島村,3853573,934208,2828118,10340,73489,0,0,7418,0,0
阿久比町,3842470,1700567,1636508,47982,188639,0,0,0,0,268774
東浦町,7946510,3410177,3652637,79647,250310,0,0,11505,0,542234
南知多町,2405724,900992,1278285,54197,148677,0,0,23523,0,50
美浜町,3181339,1358280,1422827,54813,129538,1,0,10598,0,205282
武豊町,7594563,2884423,3779957,84313,288955,0,0,0,0,556915
幸田町,7517031,2877753,4018487,72291,268185,0,0,3954,0,276361
設楽町,616700,241407,333266,14547,27480,0,0,0,0,0
東栄町,347404,142115,182179,9154,13956,0,0,0,0,0
豊根村,421045,53921,359385,3700,4039,0,0,0,0,0
