Acc. 40º 150%	Scale	Areal	Angular	name
87.7	0.29	0.37	18.25	Eckert III
87.5	0.25	0.19	20.54	Natural Earth
87.4	0.27	0.17	24.2	Winkel II
86.5	0.23	0.28	19.15	Kavraisky VII
85	0.26	0.18	23.28	Winkel Tripel
84.3	0.27	0.19	21.27	Robinson
83.2	0.25	0.43	16.14	Fahey
81.9	0.36	0	28.73	Eckert IV
81.8	0.26	0.24	22.31	Hölzel
80.4	0.26	0.34	20.41	Wagner VI
80	0.3	0.29	23.47	Eckert V
78.4	0.32	0.07	26.38	McBryde–Thomas Flat-Pole Sine (No. 2)
78.1	0.29	0.23	25.8	Winkel I
77.9	0.28	0.3	22.68	Wagner III
76.5	0.32	0.12	26.88	Wagner II
76.2	0.31	0.25	NaN	Denoyer Semi-elliptical
75.2	0.3	0.31	24.31	Putnins P5'
74.3	0.29	0.57	16.84	Equidistant Cylindrical (Plate Carrée)
74.1	0.38	0	30.56	Kavraisky V
74	0.37	0	30.71	Wagner VII
72.4	0.39	0	31.54	Putnins P4'
71.9	0.57	0	30.9	Cylindrical Equal-Area
70.6	0.39	0	32.28	Mollweide
70.5	0.29	0.51	20.36	Ginzburg VIII (TsNIIGAiK 1944)
70.2	0.43	0	30.9	Nell–Hammer
69.1	0.39	0.1	30.79	Putnins P1
68.1	0.36	0.23	30.17	Aitoff
68.1	0.36	0.29	30.3	Eckert I
67	0.44	0	33.33	Foucaut Sinusoidal
63.7	0.44	0	35.2	Boggs Eumorphic
63	0.45	0	35.5	Eckert–Greifendorff
62.9	0.39	1.3	7.63	Miller Cylindrical I
62.4	0.47	0	36	Quartic Authalic
61.7	0.35	1.05	10.06	Larrivée
60.3	0.48	0	36.99	Craster Parabolic (Putnins P4)
58.9	0.46	0	36.39	Goode Homolosine
57.4	0.41	1.46	7.75	van der Grinten (I)
57.4	0.57	4.79	0	Mercator
57.1	0.51	0	39.01	Sinusoidal
49	0.3	0.73	10.62	Gall (Gall Stereographic)
42.2	0.74	0	52.39	Foucaut
