"年","静穏","北北東","北東","東北東","東","東南東","南東","南南東","南","南南西","南西","西南西","西","西北西","北西","北北西","北","不定"
1961,54,203,123,115,44,101,164,272,158,60,38,40,67,245,411,416,409,0
1962,48,199,101,119,55,123,184,240,144,56,43,33,75,266,409,361,464,0
1963,59,176,94,99,55,89,197,272,166,63,55,61,71,225,406,364,468,0
1964,43,175,125,100,49,92,136,210,185,77,49,28,56,217,452,440,494,0
1965,30,176,113,116,64,77,137,175,155,42,49,39,82,295,466,393,511,0
1966,26,165,118,125,68,101,147,194,135,61,46,34,89,267,423,433,488,0
1967,47,197,133,118,74,83,108,203,142,45,42,32,76,242,427,460,491,0
1968,47,158,114,111,58,93,154,218,158,39,45,38,76,238,436,468,477,0
1969,38,163,106,117,52,83,155,204,133,50,38,45,77,220,450,495,494,0
1970,52,139,123,97,63,93,167,222,161,56,49,44,77,208,425,431,513,0
1971,141,142,103,89,42,76,151,174,123,43,52,33,77,207,493,473,501,0
1972,64,143,105,82,62,95,230,256,128,40,52,38,70,253,479,443,388,0
1973,43,154,127,90,55,101,187,195,128,56,57,49,89,291,426,419,453,0
1974,38,145,121,62,53,90,202,219,108,51,30,38,71,268,460,489,475,0
1975,143,135,117,87,46,120,209,235,158,38,48,46,55,242,383,410,448,0
1976,128,158,112,70,39,88,188,217,121,45,46,50,87,236,444,455,444,0
1977,161,130,108,70,46,75,148,209,120,47,60,55,73,279,415,457,467,0
1978,199,125,97,71,41,100,191,216,125,55,51,46,70,268,441,423,401,0
1979,209,124,87,87,31,86,227,201,130,42,43,43,53,264,404,408,481,0
1980,207,120,69,80,34,70,175,224,123,60,46,49,70,263,431,474,433,0
1981,191,130,87,64,39,65,187,210,97,49,42,49,85,311,404,455,455,0
1982,124,179,100,86,55,79,196,212,133,69,55,52,50,236,419,388,487,0
1983,48,192,92,95,47,81,190,203,124,63,61,54,67,250,430,476,447,0
1984,48,152,103,81,49,84,196,229,156,78,46,63,59,264,376,460,484,0
1985,75,170,101,93,39,94,215,243,124,62,57,51,58,242,391,420,485,0
1986,86,160,103,82,40,68,151,203,121,69,60,42,77,273,463,515,407,0
1987,54,157,112,93,57,86,179,256,130,77,57,43,50,230,393,524,422,0
1988,51,143,113,91,43,67,180,189,138,51,59,60,71,270,396,568,438,0
1989,55,163,110,83,28,97,229,267,139,67,46,54,43,215,424,553,366,0
1990,210,543,267,212,136,268,602,829,342,182,136,147,147,745,1287,1609,1097,0
1991,180,540,265,263,122,182,463,647,392,233,163,153,190,793,1434,1582,1158,0
1992,185,541,268,243,135,229,556,658,345,194,141,127,149,646,1344,1723,1300,0
1993,175,452,235,209,140,181,428,679,377,239,152,156,158,799,1402,1736,1242,0
1994,184,542,271,243,154,200,473,677,479,221,153,115,153,516,1236,1796,1347,0
1995,117,471,260,213,137,201,474,636,351,164,148,130,199,786,1421,1805,1247,0
1996,26,463,253,243,130,200,511,665,402,239,180,159,224,848,1421,1720,1100,0
1997,28,469,289,235,155,227,597,689,383,262,163,134,212,890,1386,1548,1093,0
1998,22,472,298,240,139,234,578,746,351,173,145,138,176,867,1355,1721,1105,0
1999,21,453,282,247,160,289,707,785,408,215,153,132,186,829,1311,1586,995,0
2000,35,433,289,211,165,244,613,821,349,180,173,114,178,806,1442,1709,1022,0
2001,38,462,279,215,149,220,502,632,443,191,159,151,227,891,1369,1692,1138,0
2002,41,426,291,199,117,192,579,840,398,197,174,151,214,842,1420,1598,1081,0
2003,44,427,277,248,139,197,541,748,424,217,154,138,159,743,1443,1742,1118,0
2004,20,429,283,222,135,271,610,939,424,188,149,137,182,736,1223,1679,1154,0
2005,26,435,295,256,173,192,533,678,457,229,154,155,201,997,1360,1569,1050,0
2006,40,396,259,233,173,215,564,661,350,271,203,163,201,806,1407,1801,1017,0
2007,38,427,272,233,157,197,613,730,440,253,161,147,189,852,1256,1644,1150,0
2008,32,426,299,274,160,215,562,658,389,253,181,113,183,828,1251,1721,1239,0
2009,29,426,285,227,129,238,565,665,367,302,180,115,206,808,1377,1776,1065,0
2010,26,422,229,255,177,278,688,769,349,221,175,142,198,897,1333,1667,934,0
2011,13,398,317,243,140,237,698,758,473,289,160,130,198,859,1312,1561,967,0
2012,12,408,297,226,141,234,633,831,513,257,114,122,173,872,1288,1630,1027,0
2013,16,392,278,264,172,206,503,717,426,254,181,152,228,995,1343,1628,1005,0
2014,34,410,239,241,112,188,527,797,434,237,174,174,218,890,1265,1727,1093,0
2015,11,345,183,195,124,141,513,708,423,263,214,148,174,670,1093,1387,896,0
