市町村,世帯数,人口総数,男,女
佐賀市,93339,235358,110859,124499
唐津市,44648,123503,57553,65950
鳥栖市,27553,72078,34308,37770
多久市,7096,20102,9308,10794
伊万里市,19969,55824,26583,29241
武雄市,17104,49477,23378,26099
鹿島市,10141,29914,14045,15869
小城市,14993,44509,20834,23675
嬉野市,9224,27649,12775,14874
神埼市,10970,32007,15201,16806
吉野ヶ里町,5718,16365,8044,8321
基山町,6250,17491,8177,9314
上峰町,3299,9421,4462,4959
みやき町,8632,25479,12100,13379
玄海町,1979,6006,3133,2873
有田町,6936,20151,9352,10799
大町町,2585,6860,3124,3736
江北町,3190,9531,4484,5047
白石町,7290,24127,11158,12969
太良町,2892,9164,4312,4852
